DateTime_Out,Error_Count,Sum_Duration,Line
2018-01-02 00:00:00,1,25200,3
2018-01-02 00:00:00,1,25200,4
2018-01-02 07:00:00,1,4166,3
2018-01-02 07:00:00,1,4148,4
2018-01-02 08:00:00,2,2464,3
2018-01-02 08:00:00,2,2634,4
2018-01-02 09:00:00,24,218,3
2018-01-02 09:00:00,20,2984,4
2018-01-02 10:00:00,16,158,3
2018-01-02 10:00:00,16,1956,4
2018-01-02 11:00:00,25,350,3
2018-01-02 11:00:00,34,312,4
2018-01-02 12:00:00,13,130,3
2018-01-02 12:00:00,28,216,4
2018-01-02 13:00:00,24,526,3
2018-01-02 13:00:00,31,440,4
2018-01-02 14:00:00,12,2970,3
2018-01-02 14:00:00,35,298,4
2018-01-02 15:00:00,16,986,3
2018-01-02 15:00:00,28,228,4
2018-01-02 16:00:00,24,276,3
2018-01-02 16:00:00,17,228,4
2018-01-02 17:00:00,25,308,3
2018-01-02 17:00:00,29,430,4
2018-01-02 18:00:00,30,364,3
2018-01-02 18:00:00,29,126,4
2018-01-02 19:00:00,29,328,3
2018-01-02 19:00:00,35,172,4
2018-01-02 20:00:00,26,152,3
2018-01-02 20:00:00,22,116,4
2018-01-02 21:00:00,18,126,3
2018-01-02 21:00:00,21,138,4
2018-01-02 22:00:00,27,292,3
2018-01-02 22:00:00,28,264,4
2018-01-02 23:00:00,10,866,3
2018-01-02 23:00:00,21,1094,4
2018-01-03 00:00:00,20,290,3
2018-01-03 00:00:00,20,1554,4
2018-01-03 01:00:00,29,280,3
2018-01-03 01:00:00,18,106,4
2018-01-03 02:00:00,20,298,3
2018-01-03 02:00:00,25,116,4
2018-01-03 03:00:00,25,278,3
2018-01-03 03:00:00,13,132,4
2018-01-03 04:00:00,13,238,3
2018-01-03 04:00:00,13,124,4
2018-01-03 05:00:00,14,234,3
2018-01-03 05:00:00,34,186,4
2018-01-03 06:00:00,10,200,3
2018-01-03 06:00:00,30,436,4
2018-01-03 07:00:00,11,672,3
2018-01-03 07:00:00,25,690,4
2018-01-03 08:00:00,14,218,3
2018-01-03 08:00:00,37,350,4
2018-01-03 09:00:00,10,144,3
2018-01-03 09:00:00,12,152,4
2018-01-03 10:00:00,12,174,3
2018-01-03 10:00:00,28,192,4
2018-01-03 11:00:00,19,366,3
2018-01-03 11:00:00,9,174,4
2018-01-03 12:00:00,29,264,3
2018-01-03 12:00:00,42,420,4
2018-01-03 13:00:00,12,164,3
2018-01-03 13:00:00,6,10216,4
2018-01-03 14:00:00,13,186,3
2018-01-03 15:00:00,25,336,3
2018-01-03 15:00:00,1,1694,4
2018-01-03 16:00:00,34,260,3
2018-01-03 16:00:00,23,1638,4
2018-01-03 17:00:00,14,260,3
2018-01-03 17:00:00,62,288,4
2018-01-03 18:00:00,13,156,3
2018-01-03 18:00:00,37,1354,4
2018-01-03 19:00:00,15,268,3
2018-01-03 19:00:00,33,158,4
2018-01-03 20:00:00,32,266,3
2018-01-03 20:00:00,21,220,4
2018-01-03 21:00:00,31,370,3
2018-01-03 21:00:00,15,96,4
2018-01-03 22:00:00,13,250,3
2018-01-03 22:00:00,18,80,4
2018-01-03 23:00:00,24,254,3
2018-01-03 23:00:00,32,126,4
2018-01-04 00:00:00,24,260,3
2018-01-04 00:00:00,37,172,4
2018-01-04 01:00:00,24,280,3
2018-01-04 01:00:00,39,268,4
2018-01-04 02:00:00,19,142,3
2018-01-04 02:00:00,12,84,4
2018-01-04 03:00:00,19,248,3
2018-01-04 03:00:00,15,448,4
2018-01-04 04:00:00,24,354,3
2018-01-04 04:00:00,32,4258,4
2018-01-04 05:00:00,24,404,3
2018-01-04 05:00:00,3,1864,4
2018-01-04 06:00:00,27,428,3
2018-01-04 06:00:00,1,4574,4
2018-01-04 07:00:00,27,450,3
2018-01-04 07:00:00,5,1908,4
2018-01-04 08:00:00,15,276,3
2018-01-04 08:00:00,34,1892,4
2018-01-04 09:00:00,16,248,3
2018-01-04 09:00:00,54,438,4
2018-01-04 10:00:00,14,152,3
2018-01-04 10:00:00,22,174,4
2018-01-04 11:00:00,21,202,3
2018-01-04 11:00:00,9,104,4
2018-01-04 12:00:00,11,1198,3
2018-01-04 12:00:00,18,78,4
2018-01-04 13:00:00,32,324,3
2018-01-04 13:00:00,19,256,4
2018-01-04 14:00:00,19,214,3
2018-01-04 14:00:00,16,4428,4
2018-01-04 15:00:00,14,226,3
2018-01-04 15:00:00,9,2700,4
2018-01-04 16:00:00,16,2908,3
2018-01-04 16:00:00,53,1764,4
2018-01-04 17:00:00,36,520,3
2018-01-04 17:00:00,15,4926,4
2018-01-04 18:00:00,31,410,3
2018-01-04 18:00:00,1,1342,4
2018-01-04 19:00:00,37,332,3
2018-01-04 19:00:00,3,2772,4
2018-01-04 20:00:00,33,458,3
2018-01-04 20:00:00,27,540,4
2018-01-04 21:00:00,13,118,3
2018-01-04 21:00:00,15,110,4
2018-01-04 22:00:00,15,1002,3
2018-01-04 22:00:00,24,1160,4
2018-01-04 23:00:00,10,94,3
2018-01-04 23:00:00,15,148,4
2018-01-05 00:00:00,18,270,3
2018-01-05 00:00:00,29,376,4
2018-01-05 01:00:00,13,188,3
2018-01-05 01:00:00,29,340,4
2018-01-05 02:00:00,30,236,3
2018-01-05 02:00:00,30,252,4
2018-01-05 03:00:00,11,946,3
2018-01-05 03:00:00,18,334,4
2018-01-05 04:00:00,20,192,3
2018-01-05 04:00:00,21,238,4
2018-01-05 05:00:00,19,336,3
2018-01-05 05:00:00,40,438,4
2018-01-05 06:00:00,19,298,3
2018-01-05 06:00:00,44,298,4
2018-01-05 07:00:00,5,110,3
2018-01-05 07:00:00,32,348,4
2018-01-05 08:00:00,10,116,3
2018-01-05 08:00:00,22,288,4
2018-01-05 09:00:00,17,218,3
2018-01-05 09:00:00,29,422,4
2018-01-05 10:00:00,22,356,3
2018-01-05 10:00:00,28,714,4
2018-01-05 11:00:00,13,134,3
2018-01-05 11:00:00,20,764,4
2018-01-05 12:00:00,16,144,3
2018-01-05 12:00:00,52,362,4
2018-01-05 13:00:00,46,266,3
2018-01-05 13:00:00,26,3952,4
2018-01-05 14:00:00,23,544,3
2018-01-05 14:00:00,13,124,4
2018-01-05 15:00:00,25,276,3
2018-01-05 15:00:00,26,496,4
2018-01-05 16:00:00,21,304,3
2018-01-05 16:00:00,29,1534,4
2018-01-05 17:00:00,45,584,3
2018-01-05 17:00:00,45,350,4
2018-01-05 18:00:00,7,180,3
2018-01-05 18:00:00,35,716,4
2018-01-05 19:00:00,33,370,3
2018-01-05 19:00:00,20,158,4
2018-01-05 20:00:00,20,546,3
2018-01-05 20:00:00,9,98,4
2018-01-05 21:00:00,18,680,3
2018-01-05 21:00:00,19,286,4
2018-01-05 22:00:00,5,2990,3
2018-01-05 22:00:00,37,352,4
2018-01-05 23:00:00,22,362,3
2018-01-05 23:00:00,13,130,4
2018-01-06 00:00:00,35,2264,3
2018-01-06 00:00:00,8,126,4
2018-01-06 01:00:00,11,776,3
2018-01-06 01:00:00,51,252,4
2018-01-06 02:00:00,31,244,3
2018-01-06 02:00:00,17,872,4
2018-01-06 03:00:00,30,488,3
2018-01-06 03:00:00,28,348,4
2018-01-06 04:00:00,14,238,3
2018-01-06 04:00:00,25,244,4
2018-01-06 05:00:00,20,402,3
2018-01-06 05:00:00,36,334,4
2018-01-06 06:00:00,24,276,3
2018-01-06 06:00:00,52,416,4
2018-01-06 07:00:00,18,234,3
2018-01-06 07:00:00,18,130,4
2018-01-06 08:00:00,20,422,3
2018-01-06 08:00:00,21,140,4
2018-01-06 09:00:00,9,232,3
2018-01-06 09:00:00,7,76,4
2018-01-06 10:00:00,25,722,3
2018-01-06 10:00:00,20,118,4
2018-01-06 11:00:00,19,316,3
2018-01-06 11:00:00,8,50,4
2018-01-06 12:00:00,30,510,3
2018-01-06 12:00:00,15,140,4
2018-01-06 13:00:00,8,3300,3
2018-01-06 13:00:00,11,154,4
2018-01-06 14:00:00,21,190,3
2018-01-06 14:00:00,28,172,4
2018-01-06 15:00:00,18,204,3
2018-01-06 15:00:00,37,240,4
2018-01-06 16:00:00,19,3054,3
2018-01-06 16:00:00,13,96,4
2018-01-06 17:00:00,28,1210,3
2018-01-06 17:00:00,28,378,4
2018-01-06 18:00:00,39,316,3
2018-01-06 18:00:00,21,168,4
2018-01-06 19:00:00,18,134,3
2018-01-06 19:00:00,33,326,4
2018-01-06 20:00:00,13,154,3
2018-01-06 20:00:00,21,220,4
2018-01-06 21:00:00,14,160,3
2018-01-06 21:00:00,17,220,4
2018-01-06 22:00:00,20,212,3
2018-01-06 22:00:00,18,312,4
2018-01-06 23:00:00,17,190,3
2018-01-06 23:00:00,17,198,4
2018-01-07 00:00:00,24,180,3
2018-01-07 00:00:00,22,168,4
2018-01-07 01:00:00,14,176,3
2018-01-07 01:00:00,21,236,4
2018-01-07 02:00:00,11,106,3
2018-01-07 02:00:00,18,108,4
2018-01-07 03:00:00,12,172,3
2018-01-07 03:00:00,31,356,4
2018-01-07 04:00:00,9,152,3
2018-01-07 04:00:00,23,206,4
2018-01-07 05:00:00,8,130,3
2018-01-07 05:00:00,17,140,4
2018-01-07 06:00:00,16,300,3
2018-01-07 06:00:00,11,118,4
2018-01-07 07:00:00,23,574,3
2018-01-07 07:00:00,17,128,4
2018-01-07 08:00:00,13,98,3
2018-01-07 08:00:00,27,326,4
2018-01-07 09:00:00,10,102,3
2018-01-07 09:00:00,21,184,4
2018-01-07 10:00:00,12,92,3
2018-01-07 10:00:00,46,292,4
2018-01-07 11:00:00,28,344,3
2018-01-07 11:00:00,26,172,4
2018-01-07 12:00:00,9,80,3
2018-01-07 12:00:00,32,674,4
2018-01-07 13:00:00,29,186,3
2018-01-07 13:00:00,24,562,4
2018-01-07 14:00:00,7,152,3
2018-01-07 14:00:00,3,39590,4
2018-01-07 15:00:00,12,212,3
2018-01-07 16:00:00,10,138,3
2018-01-07 17:00:00,18,504,3
2018-01-07 18:00:00,14,410,3
2018-01-07 19:00:00,11,170,3
2018-01-07 20:00:00,21,218,3
2018-01-07 21:00:00,21,414,3
2018-01-07 22:00:00,31,396,3
2018-01-07 23:00:00,24,274,3
2018-01-08 00:00:00,25,226,3
2018-01-08 01:00:00,23,196,3
2018-01-08 01:00:00,19,2042,4
2018-01-08 02:00:00,14,198,3
2018-01-08 02:00:00,70,1130,4
2018-01-08 03:00:00,12,128,3
2018-01-08 03:00:00,44,536,4
2018-01-08 04:00:00,22,248,3
2018-01-08 04:00:00,42,730,4
2018-01-08 05:00:00,25,234,3
2018-01-08 05:00:00,23,226,4
2018-01-08 06:00:00,18,200,3
2018-01-08 06:00:00,38,522,4
2018-01-08 07:00:00,13,192,3
2018-01-08 07:00:00,43,340,4
2018-01-08 08:00:00,19,192,3
2018-01-08 08:00:00,65,386,4
2018-01-08 09:00:00,13,116,3
2018-01-08 09:00:00,41,562,4
2018-01-08 10:00:00,8,94,3
2018-01-08 10:00:00,58,756,4
2018-01-08 11:00:00,13,1954,3
2018-01-08 11:00:00,30,358,4
2018-01-08 12:00:00,17,1326,3
2018-01-08 12:00:00,47,438,4
2018-01-08 13:00:00,27,358,3
2018-01-08 13:00:00,37,2078,4
2018-01-08 14:00:00,16,180,3
2018-01-08 14:00:00,10,404,4
2018-01-08 15:00:00,12,188,3
2018-01-08 15:00:00,25,252,4
2018-01-08 16:00:00,19,230,3
2018-01-08 16:00:00,25,178,4
2018-01-08 17:00:00,10,164,3
2018-01-08 17:00:00,23,316,4
2018-01-08 18:00:00,28,340,3
2018-01-08 18:00:00,31,312,4
2018-01-08 19:00:00,30,264,3
2018-01-08 19:00:00,50,812,4
2018-01-08 20:00:00,18,272,3
2018-01-08 20:00:00,25,324,4
2018-01-08 21:00:00,18,150,3
2018-01-08 21:00:00,24,786,4
2018-01-08 22:00:00,21,286,3
2018-01-08 22:00:00,24,398,4
2018-01-08 23:00:00,26,1256,3
2018-01-08 23:00:00,9,76,4
2018-01-09 00:00:00,15,742,3
2018-01-09 00:00:00,16,182,4
2018-01-09 01:00:00,25,280,3
2018-01-09 01:00:00,21,2460,4
2018-01-09 02:00:00,25,196,3
2018-01-09 02:00:00,18,200,4
2018-01-09 03:00:00,65,1892,3
2018-01-09 03:00:00,42,728,4
2018-01-09 04:00:00,29,1124,3
2018-01-09 04:00:00,29,472,4
2018-01-09 05:00:00,10,162,3
2018-01-09 05:00:00,42,764,4
2018-01-09 06:00:00,10,122,3
2018-01-09 06:00:00,17,224,4
2018-01-09 07:00:00,27,352,3
2018-01-09 07:00:00,34,422,4
2018-01-09 08:00:00,25,342,3
2018-01-09 08:00:00,29,434,4
2018-01-09 09:00:00,61,470,3
2018-01-09 09:00:00,36,626,4
2018-01-09 10:00:00,21,400,3
2018-01-09 10:00:00,32,182,4
2018-01-09 11:00:00,20,368,3
2018-01-09 11:00:00,18,186,4
2018-01-09 12:00:00,26,278,3
2018-01-09 12:00:00,41,604,4
2018-01-09 13:00:00,25,270,3
2018-01-09 13:00:00,51,266,4
2018-01-09 14:00:00,20,344,3
2018-01-09 14:00:00,62,232,4
2018-01-09 15:00:00,25,176,3
2018-01-09 15:00:00,42,694,4
2018-01-09 16:00:00,30,420,3
2018-01-09 16:00:00,46,370,4
2018-01-09 17:00:00,22,254,3
2018-01-09 17:00:00,53,216,4
2018-01-09 18:00:00,27,582,3
2018-01-09 18:00:00,50,474,4
2018-01-09 19:00:00,32,422,3
2018-01-09 19:00:00,46,226,4
2018-01-09 20:00:00,17,656,3
2018-01-09 20:00:00,10,110,4
2018-01-09 21:00:00,31,376,3
2018-01-09 21:00:00,16,384,4
2018-01-09 22:00:00,14,206,3
2018-01-09 22:00:00,27,438,4
2018-01-09 23:00:00,19,258,3
2018-01-09 23:00:00,9,96,4
2018-01-10 00:00:00,27,202,3
2018-01-10 00:00:00,13,152,4
2018-01-10 01:00:00,25,250,3
2018-01-10 01:00:00,14,296,4
2018-01-10 02:00:00,55,432,3
2018-01-10 02:00:00,26,190,4
2018-01-10 03:00:00,21,346,3
2018-01-10 03:00:00,10,162,4
2018-01-10 04:00:00,38,372,3
2018-01-10 04:00:00,10,168,4
2018-01-10 05:00:00,20,410,3
2018-01-10 05:00:00,21,210,4
2018-01-10 06:00:00,8,52,3
2018-01-10 06:00:00,23,480,4
2018-01-10 07:00:00,15,240,3
2018-01-10 07:00:00,22,174,4
2018-01-10 08:00:00,26,388,3
2018-01-10 08:00:00,22,342,4
2018-01-10 09:00:00,38,556,3
2018-01-10 09:00:00,7,4330,4
2018-01-10 10:00:00,28,422,3
2018-01-10 10:00:00,14,1034,4
2018-01-10 11:00:00,42,848,3
2018-01-10 11:00:00,11,126,4
2018-01-10 12:00:00,18,518,3
2018-01-10 12:00:00,24,254,4
2018-01-10 13:00:00,15,4398,3
2018-01-10 13:00:00,19,226,4
2018-01-10 14:00:00,5,1912,3
2018-01-10 14:00:00,22,862,4
2018-01-10 15:00:00,28,296,3
2018-01-10 15:00:00,29,328,4
2018-01-10 16:00:00,13,2760,3
2018-01-10 16:00:00,24,246,4
2018-01-10 17:00:00,34,656,3
2018-01-10 17:00:00,14,218,4
2018-01-10 18:00:00,29,656,3
2018-01-10 18:00:00,32,658,4
2018-01-10 19:00:00,22,442,3
2018-01-10 19:00:00,30,406,4
2018-01-10 20:00:00,12,122,3
2018-01-10 20:00:00,34,394,4
2018-01-10 21:00:00,16,194,3
2018-01-10 21:00:00,28,550,4
2018-01-10 22:00:00,16,290,3
2018-01-10 22:00:00,27,520,4
2018-01-10 23:00:00,42,458,3
2018-01-10 23:00:00,32,334,4
2018-01-11 00:00:00,15,298,3
2018-01-11 00:00:00,25,462,4
2018-01-11 01:00:00,10,118,3
2018-01-11 01:00:00,23,424,4
2018-01-11 02:00:00,12,166,3
2018-01-11 02:00:00,21,336,4
2018-01-11 03:00:00,17,136,3
2018-01-11 03:00:00,11,100,4
2018-01-11 04:00:00,15,150,3
2018-01-11 04:00:00,23,630,4
2018-01-11 05:00:00,14,208,3
2018-01-11 05:00:00,25,424,4
2018-01-11 06:00:00,15,176,3
2018-01-11 06:00:00,24,692,4
2018-01-11 07:00:00,16,284,3
2018-01-11 07:00:00,25,628,4
2018-01-11 08:00:00,23,380,3
2018-01-11 08:00:00,28,322,4
2018-01-11 09:00:00,28,624,3
2018-01-11 09:00:00,38,232,4
2018-01-11 10:00:00,6,56,3
2018-01-11 10:00:00,47,230,4
2018-01-11 11:00:00,13,168,3
2018-01-11 11:00:00,29,220,4
2018-01-11 12:00:00,6,56,3
2018-01-11 12:00:00,31,1696,4
2018-01-11 13:00:00,20,174,3
2018-01-11 13:00:00,27,1122,4
2018-01-11 14:00:00,20,1244,3
2018-01-11 14:00:00,23,426,4
2018-01-11 15:00:00,18,296,3
2018-01-11 15:00:00,33,318,4
2018-01-11 16:00:00,12,148,3
2018-01-11 16:00:00,18,582,4
2018-01-11 17:00:00,10,136,3
2018-01-11 17:00:00,15,378,4
2018-01-11 18:00:00,11,224,3
2018-01-11 18:00:00,19,1078,4
2018-01-11 19:00:00,7,98,3
2018-01-11 19:00:00,18,368,4
2018-01-11 20:00:00,7,82,3
2018-01-11 20:00:00,16,2830,4
2018-01-11 21:00:00,12,228,3
2018-01-11 21:00:00,5,64,4
2018-01-11 22:00:00,12,192,3
2018-01-11 22:00:00,17,330,4
2018-01-11 23:00:00,17,318,3
2018-01-11 23:00:00,16,156,4
2018-01-12 00:00:00,10,138,3
2018-01-12 00:00:00,16,150,4
2018-01-12 01:00:00,13,152,3
2018-01-12 01:00:00,24,252,4
2018-01-12 02:00:00,10,152,3
2018-01-12 02:00:00,20,278,4
2018-01-12 03:00:00,20,176,3
2018-01-12 03:00:00,31,654,4
2018-01-12 04:00:00,15,146,3
2018-01-12 04:00:00,36,718,4
2018-01-12 05:00:00,10,112,3
2018-01-12 05:00:00,37,418,4
2018-01-12 06:00:00,12,92,3
2018-01-12 06:00:00,12,202,4
2018-01-12 07:00:00,23,234,3
2018-01-12 07:00:00,22,382,4
2018-01-12 08:00:00,32,316,3
2018-01-12 08:00:00,21,566,4
2018-01-12 09:00:00,20,260,3
2018-01-12 09:00:00,25,220,4
2018-01-12 10:00:00,27,290,3
2018-01-12 10:00:00,35,3708,4
2018-01-12 11:00:00,37,402,3
2018-01-12 11:00:00,11,714,4
2018-01-12 12:00:00,20,262,3
2018-01-12 12:00:00,31,4662,4
2018-01-12 13:00:00,14,314,3
2018-01-12 13:00:00,20,1582,4
2018-01-12 14:00:00,15,182,3
2018-01-12 14:00:00,31,696,4
2018-01-12 15:00:00,13,6904,3
2018-01-12 15:00:00,14,118,4
2018-01-12 16:00:00,22,148,4
2018-01-12 17:00:00,1,5848,3
2018-01-12 17:00:00,10,214,4
2018-01-12 18:00:00,2,1858,3
2018-01-12 18:00:00,13,2638,4
2018-01-12 19:00:00,16,606,3
2018-01-12 19:00:00,32,394,4
2018-01-12 20:00:00,20,224,3
2018-01-12 20:00:00,29,348,4
2018-01-12 21:00:00,9,154,3
2018-01-12 21:00:00,30,3928,4
2018-01-12 22:00:00,11,202,3
2018-01-12 22:00:00,19,474,4
2018-01-12 23:00:00,17,168,3
2018-01-12 23:00:00,35,352,4
2018-01-13 00:00:00,11,162,3
2018-01-13 00:00:00,8,176,4
2018-01-13 01:00:00,12,284,3
2018-01-13 01:00:00,19,194,4
2018-01-13 02:00:00,17,130,3
2018-01-13 02:00:00,25,258,4
2018-01-13 03:00:00,12,170,3
2018-01-13 03:00:00,33,442,4
2018-01-13 04:00:00,17,242,3
2018-01-13 04:00:00,22,276,4
2018-01-13 05:00:00,12,88,3
2018-01-13 05:00:00,34,328,4
2018-01-13 06:00:00,11,144,3
2018-01-13 06:00:00,37,384,4
2018-01-13 07:00:00,16,174,3
2018-01-13 07:00:00,33,376,4
2018-01-13 08:00:00,16,176,3
2018-01-13 08:00:00,29,234,4
2018-01-13 09:00:00,22,202,3
2018-01-13 09:00:00,25,304,4
2018-01-13 10:00:00,12,124,3
2018-01-13 10:00:00,20,202,4
2018-01-13 11:00:00,10,164,3
2018-01-13 11:00:00,17,122,4
2018-01-13 12:00:00,28,294,3
2018-01-13 12:00:00,14,158,4
2018-01-13 13:00:00,23,284,3
2018-01-13 13:00:00,24,214,4
2018-01-13 14:00:00,26,588,3
2018-01-13 14:00:00,21,248,4
2018-01-13 15:00:00,10,166,3
2018-01-13 15:00:00,35,306,4
2018-01-13 16:00:00,9,100,3
2018-01-13 16:00:00,25,180,4
2018-01-13 17:00:00,12,168,3
2018-01-13 17:00:00,40,362,4
2018-01-13 18:00:00,10,150,3
2018-01-13 18:00:00,18,154,4
2018-01-13 19:00:00,13,252,3
2018-01-13 19:00:00,24,442,4
2018-01-13 20:00:00,25,416,3
2018-01-13 20:00:00,21,150,4
2018-01-13 21:00:00,12,134,3
2018-01-13 21:00:00,22,228,4
2018-01-13 22:00:00,4,44,3
2018-01-13 22:00:00,23,1342,4
2018-01-13 23:00:00,6,98,3
2018-01-13 23:00:00,37,532,4
2018-01-14 00:00:00,14,128,3
2018-01-14 00:00:00,22,1078,4
2018-01-14 01:00:00,7,100,3
2018-01-14 01:00:00,19,196,4
2018-01-14 02:00:00,10,126,3
2018-01-14 02:00:00,18,476,4
2018-01-14 03:00:00,10,250,3
2018-01-14 03:00:00,17,164,4
2018-01-14 04:00:00,14,216,3
2018-01-14 04:00:00,26,112,4
2018-01-14 05:00:00,10,154,3
2018-01-14 05:00:00,36,432,4
2018-01-14 06:00:00,18,290,3
2018-01-14 06:00:00,23,804,4
2018-01-14 07:00:00,21,288,3
2018-01-14 07:00:00,18,1284,4
2018-01-14 08:00:00,28,362,3
2018-01-14 08:00:00,18,182,4
2018-01-14 09:00:00,16,104,3
2018-01-14 09:00:00,13,186,4
2018-01-14 10:00:00,24,422,3
2018-01-14 10:00:00,27,148,4
2018-01-14 11:00:00,11,114,3
2018-01-14 11:00:00,20,166,4
2018-01-14 12:00:00,12,154,3
2018-01-14 12:00:00,22,152,4
2018-01-14 13:00:00,11,2434,3
2018-01-14 13:00:00,13,2550,4
2018-01-14 14:00:00,8,54,3
2018-01-14 14:00:00,10,68,4
2018-01-14 15:00:00,21,184,3
2018-01-14 15:00:00,19,150,4
2018-01-14 16:00:00,9,134,3
2018-01-14 16:00:00,11,138,4
2018-01-14 17:00:00,15,174,3
2018-01-14 17:00:00,10,102,4
2018-01-14 18:00:00,13,7108,3
2018-01-14 18:00:00,25,468,4
2018-01-14 19:00:00,5,36,4
2018-01-14 20:00:00,1,5008,3
2018-01-14 20:00:00,29,278,4
2018-01-14 21:00:00,1,1696,3
2018-01-14 21:00:00,11,140,4
2018-01-14 22:00:00,1,9462,3
2018-01-14 22:00:00,22,8556,4
2018-01-15 00:00:00,1,2636,3
2018-01-15 00:00:00,2,2204,4
2018-01-15 01:00:00,39,468,3
2018-01-15 01:00:00,37,854,4
2018-01-15 02:00:00,53,854,3
2018-01-15 02:00:00,49,440,4
2018-01-15 03:00:00,34,536,3
2018-01-15 03:00:00,17,78,4
2018-01-15 04:00:00,18,162,3
2018-01-15 04:00:00,23,380,4
2018-01-15 05:00:00,16,232,3
2018-01-15 05:00:00,24,168,4
2018-01-15 06:00:00,22,366,3
2018-01-15 06:00:00,25,214,4
2018-01-15 07:00:00,29,374,3
2018-01-15 07:00:00,35,524,4
2018-01-15 08:00:00,29,410,3
2018-01-15 08:00:00,36,240,4
2018-01-15 09:00:00,29,2470,3
2018-01-15 09:00:00,26,258,4
2018-01-15 10:00:00,26,434,3
2018-01-15 10:00:00,29,320,4
2018-01-15 11:00:00,26,262,3
2018-01-15 11:00:00,15,156,4
2018-01-15 12:00:00,13,216,3
2018-01-15 12:00:00,16,108,4
2018-01-15 13:00:00,20,440,3
2018-01-15 13:00:00,8,60,4
2018-01-15 14:00:00,19,380,3
2018-01-15 14:00:00,21,228,4
2018-01-15 15:00:00,11,2826,3
2018-01-15 15:00:00,5,98,4
2018-01-15 16:00:00,19,644,3
2018-01-15 16:00:00,25,674,4
2018-01-15 17:00:00,17,234,3
2018-01-15 17:00:00,29,306,4
2018-01-15 18:00:00,9,120,3
2018-01-15 18:00:00,9,38,4
2018-01-15 19:00:00,20,248,3
2018-01-15 19:00:00,7,70,4
2018-01-15 20:00:00,10,142,3
2018-01-15 20:00:00,58,432,4
2018-01-15 21:00:00,23,268,3
2018-01-15 21:00:00,22,124,4
2018-01-15 22:00:00,12,176,3
2018-01-15 22:00:00,14,102,4
2018-01-15 23:00:00,21,176,3
2018-01-15 23:00:00,21,188,4
2018-01-16 00:00:00,18,244,3
2018-01-16 00:00:00,16,52,4
2018-01-16 01:00:00,15,198,3
2018-01-16 01:00:00,11,52,4
2018-01-16 02:00:00,19,202,3
2018-01-16 02:00:00,25,232,4
2018-01-16 03:00:00,9,176,3
2018-01-16 03:00:00,21,236,4
2018-01-16 04:00:00,7,44,3
2018-01-16 04:00:00,30,286,4
2018-01-16 05:00:00,14,512,3
2018-01-16 05:00:00,37,828,4
2018-01-16 06:00:00,16,182,3
2018-01-16 06:00:00,25,192,4
2018-01-16 07:00:00,16,188,3
2018-01-16 07:00:00,29,232,4
2018-01-16 08:00:00,13,172,3
2018-01-16 08:00:00,40,252,4
2018-01-16 09:00:00,11,86,3
2018-01-16 09:00:00,36,412,4
